level-0,level-1,level-2,level-3,level-4,level-5,level-6,level-7
1,0-1,0-2,0-4,0-9,0-24,0-49,any
2,2-3,0-2,0-4,0-9,0-24,0-49,any
3,2-3,3-5,0-4,0-9,0-24,0-49,any
4,4-5,3-5,0-4,0-9,0-24,0-49,any
5,4-5,3-5,5-9,0-9,0-24,0-49,any
6,6-7,6-8,5-9,0-9,0-24,0-49,any
7,6-7,6-8,5-9,0-9,0-24,0-49,any
8,8-9,6-8,5-9,0-9,0-24,0-49,any
9,8-9,9-11,5-9,0-9,0-24,0-49,any
10,10-11,9-11,10-14,10-19,0-24,0-49,any
11,10-11,9-11,10-14,10-19,0-24,0-49,any
12,12-13,12-14,10-14,10-19,0-24,0-49,any
13,12-13,12-14,10-14,10-19,0-24,0-49,any
14,14-15,12-14,10-14,10-19,0-24,0-49,any
15,14-15,15-17,15-19,10-19,0-24,0-49,any
16,16-17,15-17,15-19,10-19,0-24,0-49,any
17,16-17,15-17,15-19,10-19,0-24,0-49,any
18,18-19,18-20,15-19,10-19,0-24,0-49,any
19,18-19,18-20,15-19,10-19,0-24,0-49,any
20,20-21,18-20,20-24,20-29,0-24,0-49,any
21,20-21,21-23,20-24,20-29,0-24,0-49,any
22,22-23,21-23,20-24,20-29,0-24,0-49,any
23,22-23,21-23,20-24,20-29,0-24,0-49,any
24,24-25,24-26,20-24,20-29,0-24,0-49,any
25,24-25,24-26,25-29,20-29,25-49,0-49,any
26,26-27,24-26,25-29,20-29,25-49,0-49,any
27,26-27,27-29,25-29,20-29,25-49,0-49,any
28,28-29,27-29,25-29,20-29,25-49,0-49,any
29,28-29,27-29,25-29,20-29,25-49,0-49,any
30,30-31,30-32,30-34,30-39,25-49,0-49,any
31,30-31,30-32,30-34,30-39,25-49,0-49,any
32,32-33,30-32,30-34,30-39,25-49,0-49,any
33,32-33,33-35,30-34,30-39,25-49,0-49,any
34,34-35,33-35,30-34,30-39,25-49,0-49,any
35,34-35,33-35,35-39,30-39,25-49,0-49,any
36,36-37,36-38,35-39,30-39,25-49,0-49,any
37,36-37,36-38,35-39,30-39,25-49,0-49,any
38,38-39,36-38,35-39,30-39,25-49,0-49,any
39,38-39,39-41,35-39,30-39,25-49,0-49,any
40,40-41,39-41,40-44,40-49,25-49,0-49,any
41,40-41,39-41,40-44,40-49,25-49,0-49,any
42,42-43,42-44,40-44,40-49,25-49,0-49,any
43,42-43,42-44,40-44,40-49,25-49,0-49,any
44,44-45,42-44,40-44,40-49,25-49,0-49,any
45,44-45,45-47,45-49,40-49,25-49,0-49,any
46,46-47,45-47,45-49,40-49,25-49,0-49,any
47,46-47,45-47,45-49,40-49,25-49,0-49,any
48,48-49,48-50,45-49,40-49,25-49,0-49,any
49,48-49,48-50,45-49,40-49,25-49,0-49,any
50,50-51,48-50,50-54,50-59,50-74,50-99,any
51,50-51,51-53,50-54,50-59,50-74,50-99,any
52,52-53,51-53,50-54,50-59,50-74,50-99,any
53,52-53,51-53,50-54,50-59,50-74,50-99,any
54,54-55,54-56,50-54,50-59,50-74,50-99,any
55,54-55,54-56,55-59,50-59,50-74,50-99,any
56,56-57,54-56,55-59,50-59,50-74,50-99,any
57,56-57,57-59,55-59,50-59,50-74,50-99,any
58,58-59,57-59,55-59,50-59,50-74,50-99,any
59,58-59,57-59,55-59,50-59,50-74,50-99,any
60,60-61,60-62,60-64,60-69,50-74,50-99,any
61,60-61,60-62,60-64,60-69,50-74,50-99,any
62,62-63,60-62,60-64,60-69,50-74,50-99,any
63,62-63,63-65,60-64,60-69,50-74,50-99,any
64,64-65,63-65,60-64,60-69,50-74,50-99,any
65,64-65,63-65,65-69,60-69,50-74,50-99,any
66,66-67,66-68,65-69,60-69,50-74,50-99,any
67,66-67,66-68,65-69,60-69,50-74,50-99,any
68,68-69,66-68,65-69,60-69,50-74,50-99,any
69,68-69,69-71,65-69,60-69,50-74,50-99,any
70,70-71,69-71,70-74,70-79,50-74,50-99,any
71,70-71,69-71,70-74,70-79,50-74,50-99,any
72,72-73,72-74,70-74,70-79,50-74,50-99,any
73,72-73,72-74,70-74,70-79,50-74,50-99,any
74,74-75,72-74,70-74,70-79,50-74,50-99,any
75,74-75,75-77,75-79,70-79,75-99,50-99,any
76,76-77,75-77,75-79,70-79,75-99,50-99,any
77,76-77,75-77,75-79,70-79,75-99,50-99,any
78,78-79,78-80,75-79,70-79,75-99,50-99,any
79,78-79,78-80,75-79,70-79,75-99,50-99,any
80,80-81,78-80,80-84,80-89,75-99,50-99,any
81,80-81,81-83,80-84,80-89,75-99,50-99,any
82,82-83,81-83,80-84,80-89,75-99,50-99,any
83,82-83,81-83,80-84,80-89,75-99,50-99,any
84,84-85,84-86,80-84,80-89,75-99,50-99,any
85,84-85,84-86,85-89,80-89,75-99,50-99,any
86,86-87,84-86,85-89,80-89,75-99,50-99,any
87,86-87,87-89,85-89,80-89,75-99,50-99,any
88,88-89,87-89,85-89,80-89,75-99,50-99,any
89,88-89,87-89,85-89,80-89,75-99,50-99,any
90,90-91,90-92,90-94,90-99,75-99,50-99,any
91,90-91,90-92,90-94,90-99,75-99,50-99,any
92,92-93,90-92,90-94,90-99,75-99,50-99,any
93,92-93,93-95,90-94,90-99,75-99,50-99,any
94,94-95,93-95,90-94,90-99,75-99,50-99,any
95,94-95,93-95,95-99,90-99,75-99,50-99,any
96,96-97,96-98,95-99,90-99,75-99,50-99,any
97,96-97,96-98,95-99,90-99,75-99,50-99,any
98,98-99,96-98,95-99,90-99,75-99,50-99,any
99,98-99,99-101,95-99,90-99,75-99,50-99,any
