level-0,level-1,level-2,level-3,level-4,level-5,level-6
0,0-99,0-499,0-999,0-2499,0-7499,any
500,498-598,498-998,498-1498,498-2998,498-7998,any
1000,997-1097,997-1497,997-1997,997-3497,997-8497,any
1500,1496-1596,1496-1996,1496-2496,1496-3996,1496-8996,any
2000,1995-2095,1995-2495,1995-2995,1995-4495,1995-9495,any
2500,2494-2594,2494-2994,2494-3494,2494-4994,2494-9994,any
3000,2993-3093,2993-3493,2993-3993,2993-5493,2993-10493,any
3500,3492-3592,3492-3992,3492-4492,3492-5992,3492-10992,any
4000,3991-4091,3991-4491,3991-4991,3991-6491,3991-11491,any
4500,4490-4590,4490-4990,4490-5490,4490-6990,4490-11990,any
5000,4989-5089,4989-5489,4989-5989,4989-7489,4989-12489,any
5500,5488-5588,5488-5988,5488-6488,5488-7988,5488-12988,any
6000,5987-6087,5987-6487,5987-6987,5987-8487,5987-13487,any
6500,6486-6586,6486-6986,6486-7486,6486-8986,6486-13986,any
7000,6985-7085,6985-7485,6985-7985,6985-9485,6985-14485,any
7500,7484-7584,7484-7984,7484-8484,7484-9984,7484-14984,any
8000,7983-8083,7983-8483,7983-8983,7983-10483,7983-15483,any
8500,8482-8582,8482-8982,8482-9482,8482-10982,8482-15982,any
9000,8981-9081,8981-9481,8981-9981,8981-11481,8981-16481,any
9500,9480-9580,9480-9980,9480-10480,9480-11980,9480-16980,any
10000,9979-10079,9979-10479,9979-10979,9979-12479,9979-17479,any
10500,10478-10578,10478-10978,10478-11478,10478-12978,10478-17978,any
11000,10977-11077,10977-11477,10977-11977,10977-13477,10977-18477,any
11500,11476-11576,11476-11976,11476-12476,11476-13976,11476-18976,any
12000,11975-12075,11975-12475,11975-12975,11975-14475,11975-19475,any
12500,12474-12574,12474-12974,12474-13474,12474-14974,12474-19974,any
13000,12973-13073,12973-13473,12973-13973,12973-15473,12973-20473,any
13500,13472-13572,13472-13972,13472-14472,13472-15972,13472-20972,any
14000,13971-14071,13971-14471,13971-14971,13971-16471,13971-21471,any
14500,14470-14570,14470-14970,14470-15470,14470-16970,14470-21970,any
15000,14969-15069,14969-15469,14969-15969,14969-17469,14969-22469,any
15500,15468-15568,15468-15968,15468-16468,15468-17968,15468-22968,any
16000,15967-16067,15967-16467,15967-16967,15967-18467,15967-23467,any
16500,16466-16566,16466-16966,16466-17466,16466-18966,16466-23966,any
17000,16965-17065,16965-17465,16965-17965,16965-19465,16965-24465,any
17500,17464-17564,17464-17964,17464-18464,17464-19964,17464-24964,any
18000,17963-18063,17963-18463,17963-18963,17963-20463,17963-25463,any
18500,18462-18562,18462-18962,18462-19462,18462-20962,18462-25962,any
19000,18961-19061,18961-19461,18961-19961,18961-21461,18961-26461,any
19500,19460-19560,19460-19960,19460-20460,19460-21960,19460-26960,any
20000,19959-20059,19959-20459,19959-20959,19959-22459,19959-27459,any
20500,20458-20558,20458-20958,20458-21458,20458-22958,20458-27958,any
21000,20957-21057,20957-21457,20957-21957,20957-23457,20957-28457,any
21500,21456-21556,21456-21956,21456-22456,21456-23956,21456-28956,any
22000,21955-22055,21955-22455,21955-22955,21955-24455,21955-29455,any
22500,22454-22554,22454-22954,22454-23454,22454-24954,22454-29954,any
23000,22953-23053,22953-23453,22953-23953,22953-25453,22953-30453,any
23500,23452-23552,23452-23952,23452-24452,23452-25952,23452-30952,any
24000,23951-24051,23951-24451,23951-24951,23951-26451,23951-31451,any
24500,24450-24550,24450-24950,24450-25450,24450-26950,24450-31950,any
25000,24949-25049,24949-25449,24949-25949,24949-27449,24949-32449,any
25500,25448-25548,25448-25948,25448-26448,25448-27948,25448-32948,any
26000,25947-26047,25947-26447,25947-26947,25947-28447,25947-33447,any
26500,26446-26546,26446-26946,26446-27446,26446-28946,26446-33946,any
27000,26945-27045,26945-27445,26945-27945,26945-29445,26945-34445,any
