level-0,level-1,level-2,level-3,level-4,level-5,level-6
0,0-99,-1-499,0-999,0-1999,0-3499,any
500,498-598,498-998,498-1498,498-2498,498-3998,any
1000,997-1097,997-1497,997-1997,997-2997,997-4497,any
1500,1496-1596,1496-1996,1496-2496,1496-3496,1496-4996,any
2000,1995-2095,1995-2495,1995-2995,1995-3995,1995-5495,any
2500,2494-2594,2494-2994,2494-3494,2494-4494,2494-5994,any
3000,2993-3093,2993-3493,2993-3993,2993-4993,2993-6493,any
3500,3492-3592,3492-3992,3492-4492,3492-5492,3492-6992,any
4000,3991-4091,3991-4491,3991-4991,3991-5991,3991-7491,any
4500,4490-4590,4490-4990,4490-5490,4490-6490,4490-7990,any
