level-0,level-1,level-2,level-3,level-4,level-5,level-6,level-7
1,0-1,0-2,0-3,0-5,0-7,0-9,any
2,2-3,0-2,0-3,0-5,0-7,0-9,any
3,2-3,3-5,0-3,0-5,0-7,0-9,any
4,4-5,3-5,4-7,0-5,0-7,0-9,any
5,4-5,3-5,4-7,0-5,0-7,0-9,any
6,6-7,6-8,4-7,6-11,0-7,0-9,any
7,6-7,6-8,4-7,6-11,0-7,0-9,any
8,8-9,6-8,8-11,6-11,8-15,0-9,any
9,8-9,9-11,8-11,6-11,8-15,0-9,any
10,10-11,9-11,8-11,6-11,8-15,10-19,any
11,10-11,9-11,8-11,6-11,8-15,10-19,any
12,12-13,12-14,12-15,12-17,8-15,10-19,any
13,12-13,12-14,12-15,12-17,8-15,10-19,any
14,14-15,12-14,12-15,12-17,8-15,10-19,any
15,14-15,15-17,12-15,12-17,8-15,10-19,any
16,16-17,15-17,16-19,12-17,16-23,10-19,any
