level-0,level-1,level-2,level-3,level-4,level-5,level-6,level-7
1,1-2,0-5,0-10,0-20,0-40,0-80,any
2,2-3,0-5,0-10,0-20,0-40,0-80,any
3,3-4,0-5,0-10,0-20,0-40,0-80,any
4,4-5,0-5,0-10,0-20,0-40,0-80,any
5,5-6,5-10,0-10,0-20,0-40,0-80,any
6,6-7,5-10,0-10,0-20,0-40,0-80,any
7,7-8,5-10,0-10,0-20,0-40,0-80,any
8,8-9,5-10,0-10,0-20,0-40,0-80,any
9,9-10,5-10,0-10,0-20,0-40,0-80,any
10,10-11,10-15,10-20,0-20,0-40,0-80,any
11,11-12,10-15,10-20,0-20,0-40,0-80,any
12,12-13,10-15,10-20,0-20,0-40,0-80,any
13,13-14,10-15,10-20,0-20,0-40,0-80,any
14,14-15,10-15,10-20,0-20,0-40,0-80,any
15,15-16,15-20,10-20,0-20,0-40,0-80,any
16,16-17,15-20,10-20,0-20,0-40,0-80,any
17,17-18,15-20,10-20,0-20,0-40,0-80,any
18,18-19,15-20,10-20,0-20,0-40,0-80,any
19,19-20,15-20,10-20,0-20,0-40,0-80,any
20,20-21,20-25,20-30,20-40,0-40,0-80,any
21,21-22,20-25,20-30,20-40,0-40,0-80,any
22,22-23,20-25,20-30,20-40,0-40,0-80,any
23,23-24,20-25,20-30,20-40,0-40,0-80,any
24,24-25,20-25,20-30,20-40,0-40,0-80,any
25,25-26,25-30,20-30,20-40,0-40,0-80,any
26,26-27,25-30,20-30,20-40,0-40,0-80,any
27,27-28,25-30,20-30,20-40,0-40,0-80,any
28,28-29,25-30,20-30,20-40,0-40,0-80,any
29,29-30,25-30,20-30,20-40,0-40,0-80,any
30,30-31,30-35,30-40,20-40,0-40,0-80,any
31,31-32,30-35,30-40,20-40,0-40,0-80,any
32,32-33,30-35,30-40,20-40,0-40,0-80,any
33,33-34,30-35,30-40,20-40,0-40,0-80,any
34,34-35,30-35,30-40,20-40,0-40,0-80,any
35,35-36,35-40,30-40,20-40,0-40,0-80,any
36,36-37,35-40,30-40,20-40,0-40,0-80,any
37,37-38,35-40,30-40,20-40,0-40,0-80,any
38,38-39,35-40,30-40,20-40,0-40,0-80,any
39,39-40,35-40,30-40,20-40,0-40,0-80,any
40,40-41,40-45,40-50,40-60,40-80,0-80,any
41,41-42,40-45,40-50,40-60,40-80,0-80,any
42,42-43,40-45,40-50,40-60,40-80,0-80,any
43,43-44,40-45,40-50,40-60,40-80,0-80,any
44,44-45,40-45,40-50,40-60,40-80,0-80,any
45,45-46,45-50,40-50,40-60,40-80,0-80,any
46,46-47,45-50,40-50,40-60,40-80,0-80,any
47,47-48,45-50,40-50,40-60,40-80,0-80,any
48,48-49,45-50,40-50,40-60,40-80,0-80,any
