level-0,level-1,level-2,level-3,level-4,level-5
12285,12284-112284,12284-212284,12284-412284,12284-812284,any
13769,13767-113767,13767-213767,13767-413767,13767-813767,any
14878,14875-114875,14875-214875,14875-414875,14875-814875,any
18827,18823-118823,18823-218823,18823-418823,18823-818823,any
19214,19209-119209,19209-219209,19209-419209,19209-819209,any
19302,19296-119296,19296-219296,19296-419296,19296-819296,any
19395,19388-119388,19388-219388,19388-419388,19388-819388,any
19410,19402-119402,19402-219402,19402-419402,19402-819402,any
19491,19482-119482,19482-219482,19482-419482,19482-819482,any
19520,19510-119510,19510-219510,19510-419510,19510-819510,any
19700,19689-119689,19689-219689,19689-419689,19689-819689,any
19752,19740-119740,19740-219740,19740-419740,19740-819740,any
19793,19780-119780,19780-219780,19780-419780,19780-819780,any
19847,19833-119833,19833-219833,19833-419833,19833-819833,any
19899,19884-119884,19884-219884,19884-419884,19884-819884,any
19914,19898-119898,19898-219898,19898-419898,19898-819898,any
20057,20040-120040,20040-220040,20040-420040,20040-820040,any
20098,20080-120080,20080-220080,20080-420080,20080-820080,any
20101,20082-120082,20082-220082,20082-420082,20082-820082,any
20109,20089-120089,20089-220089,20089-420089,20089-820089,any
20179,20158-120158,20158-220158,20158-420158,20158-820158,any
20296,20274-120274,20274-220274,20274-420274,20274-820274,any
20308,20285-120285,20285-220285,20285-420285,20285-820285,any
20323,20299-120299,20299-220299,20299-420299,20299-820299,any
20333,20308-120308,20308-220308,20308-420308,20308-820308,any
20438,20412-120412,20412-220412,20412-420412,20412-820412,any
20469,20442-120442,20442-220442,20442-420442,20442-820442,any
20507,20479-120479,20479-220479,20479-420479,20479-820479,any
20511,20482-120482,20482-220482,20482-420482,20482-820482,any
20534,20504-120504,20504-220504,20504-420504,20504-820504,any
20676,20645-120645,20645-220645,20645-420645,20645-820645,any
20728,20696-120696,20696-220696,20696-420696,20696-820696,any
20795,20762-120762,20762-220762,20762-420762,20762-820762,any
20809,20775-120775,20775-220775,20775-420775,20775-820775,any
20953,20918-120918,20918-220918,20918-420918,20918-820918,any
20956,20920-120920,20920-220920,20920-420920,20920-820920,any
21095,21058-121058,21058-221058,21058-421058,21058-821058,any
21101,21063-121063,21063-221063,21063-421063,21063-821063,any
21154,21115-121115,21115-221115,21115-421115,21115-821115,any
21174,21134-121134,21134-221134,21134-421134,21134-821134,any
21306,21265-121265,21265-221265,21265-421265,21265-821265,any
21472,21430-121430,21430-221430,21430-421430,21430-821430,any
21626,21583-121583,21583-221583,21583-421583,21583-821583,any
21698,21654-121654,21654-221654,21654-421654,21654-821654,any
21792,21747-121747,21747-221747,21747-421747,21747-821747,any
21856,21810-121810,21810-221810,21810-421810,21810-821810,any
21876,21829-121829,21829-221829,21829-421829,21829-821829,any
21906,21858-121858,21858-221858,21858-421858,21858-821858,any
22042,21993-121993,21993-221993,21993-421993,21993-821993,any
22055,22005-122005,22005-222005,22005-422005,22005-822005,any
22154,22103-122103,22103-222103,22103-422103,22103-822103,any
22155,22103-122103,22103-222103,22103-422103,22103-822103,any
22186,22133-122133,22133-222133,22133-422133,22133-822133,any
22201,22147-122147,22147-222147,22147-422147,22147-822147,any
22211,22156-122156,22156-222156,22156-422156,22156-822156,any
22245,22189-122189,22189-222189,22189-422189,22189-822189,any
22313,22256-122256,22256-222256,22256-422256,22256-822256,any
22328,22270-122270,22270-222270,22270-422270,22270-822270,any
22418,22359-122359,22359-222359,22359-422359,22359-822359,any
22422,22362-122362,22362-222362,22362-422362,22362-822362,any
22428,22367-122367,22367-222367,22367-422367,22367-822367,any
22463,22401-122401,22401-222401,22401-422401,22401-822401,any
22494,22431-122431,22431-222431,22431-422431,22431-822431,any
22546,22482-122482,22482-222482,22482-422482,22482-822482,any
22641,22576-122576,22576-222576,22576-422576,22576-822576,any
22743,22677-122677,22677-222677,22677-422677,22677-822677,any
22831,22764-122764,22764-222764,22764-422764,22764-822764,any
22900,22832-122832,22832-222832,22832-422832,22832-822832,any
22907,22838-122838,22838-222838,22838-422838,22838-822838,any
22966,22896-122896,22896-222896,22896-422896,22896-822896,any
22978,22907-122907,22907-222907,22907-422907,22907-822907,any
23037,22965-122965,22965-222965,22965-422965,22965-822965,any
23074,23001-123001,23001-223001,23001-423001,23001-823001,any
23157,23083-123083,23083-223083,23083-423083,23083-823083,any
23233,23158-123158,23158-223158,23158-423158,23158-823158,any
23324,23248-123248,23248-223248,23248-423248,23248-823248,any
23438,23361-123361,23361-223361,23361-423361,23361-823361,any
23494,23416-123416,23416-223416,23416-423416,23416-823416,any
23510,23431-123431,23431-223431,23431-423431,23431-823431,any
23545,23465-123465,23465-223465,23465-423465,23465-823465,any
23580,23499-123499,23499-223499,23499-423499,23499-823499,any
23621,23539-123539,23539-223539,23539-423539,23539-823539,any
23646,23563-123563,23563-223563,23563-423563,23563-823563,any
23686,23602-123602,23602-223602,23602-423602,23602-823602,any
23698,23613-123613,23613-223613,23613-423613,23613-823613,any
23740,23654-123654,23654-223654,23654-423654,23654-823654,any
23776,23689-123689,23689-223689,23689-423689,23689-823689,any
23778,23690-123690,23690-223690,23690-423690,23690-823690,any
23780,23691-123691,23691-223691,23691-423691,23691-823691,any
23789,23699-123699,23699-223699,23699-423699,23699-823699,any
23813,23722-123722,23722-223722,23722-423722,23722-823722,any
23871,23779-123779,23779-223779,23779-423779,23779-823779,any
23892,23799-123799,23799-223799,23799-423799,23799-823799,any
23940,23846-123846,23846-223846,23846-423846,23846-823846,any
24008,23913-123913,23913-223913,23913-423913,23913-823913,any
24013,23917-123917,23917-223917,23917-423917,23917-823917,any
24046,23949-123949,23949-223949,23949-423949,23949-823949,any
24050,23952-123952,23952-223952,23952-423952,23952-823952,any
24090,23991-123991,23991-223991,23991-423991,23991-823991,any
24106,24006-124006,24006-224006,24006-424006,24006-824006,any
24108,24007-124007,24007-224007,24007-424007,24007-824007,any
24127,24025-124025,24025-224025,24025-424025,24025-824025,any
24139,24036-124036,24036-224036,24036-424036,24036-824036,any
24153,24049-124049,24049-224049,24049-424049,24049-824049,any
24185,24080-124080,24080-224080,24080-424080,24080-824080,any
24215,24109-124109,24109-224109,24109-424109,24109-824109,any
24243,24136-124136,24136-224136,24136-424136,24136-824136,any
24264,24156-124156,24156-224156,24156-424156,24156-824156,any
24266,24157-124157,24157-224157,24157-424157,24157-824157,any
24292,24182-124182,24182-224182,24182-424182,24182-824182,any
24342,24231-124231,24231-224231,24231-424231,24231-824231,any
24344,24232-124232,24232-224232,24232-424232,24232-824232,any
24364,24251-124251,24251-224251,24251-424251,24251-824251,any
24384,24270-124270,24270-224270,24270-424270,24270-824270,any
24395,24280-124280,24280-224280,24280-424280,24280-824280,any
24473,24357-124357,24357-224357,24357-424357,24357-824357,any
24504,24387-124387,24387-224387,24387-424387,24387-824387,any
24515,24397-124397,24397-224397,24397-424397,24397-824397,any
24529,24410-124410,24410-224410,24410-424410,24410-824410,any
24562,24442-124442,24442-224442,24442-424442,24442-824442,any
24647,24526-124526,24526-224526,24526-424526,24526-824526,any
24694,24572-124572,24572-224572,24572-424572,24572-824572,any
24712,24589-124589,24589-224589,24589-424589,24589-824589,any
24721,24597-124597,24597-224597,24597-424597,24597-824597,any
24723,24598-124598,24598-224598,24598-424598,24598-824598,any
24728,24602-124602,24602-224602,24602-424602,24602-824602,any
24763,24636-124636,24636-224636,24636-424636,24636-824636,any
24790,24662-124662,24662-224662,24662-424662,24662-824662,any
24824,24695-124695,24695-224695,24695-424695,24695-824695,any
24872,24742-124742,24742-224742,24742-424742,24742-824742,any
24896,24765-124765,24765-224765,24765-424765,24765-824765,any
24961,24829-124829,24829-224829,24829-424829,24829-824829,any
24967,24834-124834,24834-224834,24834-424834,24834-824834,any
24982,24848-124848,24848-224848,24848-424848,24848-824848,any
25005,24870-124870,24870-224870,24870-424870,24870-824870,any
25031,24895-124895,24895-224895,24895-424895,24895-824895,any
