age,work-class,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,Other,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,1719,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
any,Any,Below higher education,0-10,Spouse not present,Any,Not-in-family,White,Female,0,0,0-40,North America,<=50K
