age,work-class,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,Other,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,Black,Any,0,1590,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,1980,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,1408,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,14344,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,10520,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,1669,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,>50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
0-80,Any,Higher education,12-16,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,Any,<=50K
