age,work-class,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Amer-Indian-Eskimo,Male,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Asian-Pac-Islander,Male,0,0-99,0-80,East Asia,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Asian-Pac-Islander,Male,0,0-99,0-80,East Asia,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,?,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,?,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,Caribbean,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,Caribbean,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
20-40,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
40-60,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
60-80,Any,any,10th,6,Any,Any,Any,Black,Female,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
0-20,Any,any,10th,6,Any,Any,Any,Black,Male,0,0-99,0-80,North America,<=50K
