age,work-class,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
0-40,Any,140164,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,65368,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,243313,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,240817,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,2597,0,0-80,North America,<=50K
0-40,Any,475028,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,193830,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,99697,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,290763,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,209432,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,293579,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,169188,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,311764,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,201901,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,1719,0-80,North America,<=50K
0-40,Any,55284,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,181666,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,280298,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,231638,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,123273,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,400225,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,85088,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,1762,0-80,North America,<=50K
0-40,Any,301654,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,266287,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,139183,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,129583,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,107277,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,148644,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,146719,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,400443,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,200199,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,263024,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,169631,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,198163,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,73839,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,174391,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,201799,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,73514,Below higher education,0-10,Spouse not present,Non technical,In-family,Asian-Pac-Islander,Female,0,0,0-80,North America,<=50K
0-40,Any,57957,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,121037,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,120283,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,204756,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,237455,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,201901,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,57206,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,203240,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,27032,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,166961,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,116375,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,71792,Below higher education,0-10,Spouse not present,Non technical,In-family,Asian-Pac-Islander,Female,0,0,0-80,North America,<=50K
0-40,Any,198146,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,401051,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,215190,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,110723,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,188519,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,432154,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,110798,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,183315,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,118847,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,444822,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,34918,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,111332,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,208463,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,114420,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,135315,Below higher education,0-10,Spouse not present,Non technical,In-family,Other,Female,0,0,0-80,North America,<=50K
0-40,Any,163332,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,20728,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,4101,0,0-80,North America,<=50K
0-40,Any,210008,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,198813,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,177578,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,143392,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,84747,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,244773,Below higher education,0-10,Spouse not present,Non technical,In-family,Black,Female,0,0,0-80,North America,<=50K
0-40,Any,170800,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,216825,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,198259,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,244589,Below higher education,0-10,Spouse not present,Non technical,In-family,White,Female,0,0,0-80,North America,<=50K
0-40,Any,301867,Below higher education,0-10,Spouse not present,Non technical,In-family,Amer-Indian-Eskimo,Female,0,0,0-80,North America,<=50K
