age,work-class,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
0-80,Any,329783,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,156736,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,98995,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,369677,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,117549,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,156822,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,1762,0-160,North America,<=50K
0-80,Any,190027,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,353628,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,95654,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,185394,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,211391,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,309504,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,504725,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,206506,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,74539,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,160758,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,526968,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,446219,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,270366,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,405177,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,256967,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,227610,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,176831,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,62339,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,171398,10th,6,Spouse not present,Any,Not-in-family,Other,Any,0,0,0-160,North America,<=50K
0-80,Any,280134,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,167482,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,213799,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,394727,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,38772,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,136077,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,142751,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,218782,10th,6,Spouse not present,Any,Not-in-family,Other,Any,0,0,0-160,North America,<=50K
0-80,Any,320047,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,314177,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,221215,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,195919,10th,6,Spouse not present,Any,Not-in-family,Other,Any,0,0,0-160,North America,<=50K
0-80,Any,122540,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,204641,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,100154,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,293565,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,175720,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,452808,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,210313,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,132805,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,1980,0-160,North America,<=50K
0-80,Any,283945,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,1602,0-160,North America,<=50K
0-80,Any,355996,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,32550,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,97077,10th,6,Spouse not present,Any,Not-in-family,Black,Any,0,0,0-160,North America,<=50K
0-80,Any,265083,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,179313,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,196174,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,185001,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,219441,10th,6,Spouse not present,Any,Not-in-family,Other,Any,0,0,0-160,North America,<=50K
0-80,Any,290754,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,192237,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
0-80,Any,128736,10th,6,Spouse not present,Any,Not-in-family,White,Any,0,0,0-160,North America,<=50K
