level-0,level-1,level-2,level-3,level-4,level-5,level-6,level-7
1,0-5,0-10,0-20,0-40,0-80,0-160,any
2,0-5,0-10,0-20,0-40,0-80,0-160,any
3,0-5,0-10,0-20,0-40,0-80,0-160,any
4,0-5,0-10,0-20,0-40,0-80,0-160,any
5,5-10,0-10,0-20,0-40,0-80,0-160,any
6,5-10,0-10,0-20,0-40,0-80,0-160,any
7,5-10,0-10,0-20,0-40,0-80,0-160,any
8,5-10,0-10,0-20,0-40,0-80,0-160,any
9,5-10,0-10,0-20,0-40,0-80,0-160,any
10,10-15,10-20,0-20,0-40,0-80,0-160,any
11,10-15,10-20,0-20,0-40,0-80,0-160,any
12,10-15,10-20,0-20,0-40,0-80,0-160,any
13,10-15,10-20,0-20,0-40,0-80,0-160,any
14,10-15,10-20,0-20,0-40,0-80,0-160,any
15,15-20,10-20,0-20,0-40,0-80,0-160,any
16,15-20,10-20,0-20,0-40,0-80,0-160,any
17,15-20,10-20,0-20,0-40,0-80,0-160,any
18,15-20,10-20,0-20,0-40,0-80,0-160,any
19,15-20,10-20,0-20,0-40,0-80,0-160,any
20,20-25,20-30,20-40,0-40,0-80,0-160,any
21,20-25,20-30,20-40,0-40,0-80,0-160,any
22,20-25,20-30,20-40,0-40,0-80,0-160,any
23,20-25,20-30,20-40,0-40,0-80,0-160,any
24,20-25,20-30,20-40,0-40,0-80,0-160,any
25,25-30,20-30,20-40,0-40,0-80,0-160,any
26,25-30,20-30,20-40,0-40,0-80,0-160,any
27,25-30,20-30,20-40,0-40,0-80,0-160,any
28,25-30,20-30,20-40,0-40,0-80,0-160,any
29,25-30,20-30,20-40,0-40,0-80,0-160,any
30,30-35,30-40,20-40,0-40,0-80,0-160,any
31,30-35,30-40,20-40,0-40,0-80,0-160,any
32,30-35,30-40,20-40,0-40,0-80,0-160,any
33,30-35,30-40,20-40,0-40,0-80,0-160,any
34,30-35,30-40,20-40,0-40,0-80,0-160,any
35,35-40,30-40,20-40,0-40,0-80,0-160,any
36,35-40,30-40,20-40,0-40,0-80,0-160,any
37,35-40,30-40,20-40,0-40,0-80,0-160,any
38,35-40,30-40,20-40,0-40,0-80,0-160,any
