level-0,level-1,level-2,level-3
0,0-1999,0-7999,any
114,112-2112,112-8112,any
401,398-2398,398-8398,any
500,496-2496,496-8496,any
594,589-2589,589-8589,any
914,908-2908,908-8908,any
991,984-2984,984-8984,any
1000,992-2992,992-8992,any
1055,1046-3046,1046-9046,any
1086,1076-3076,1076-9076,any
1111,1100-3100,1100-9100,any
1151,1139-3139,1139-9139,any
1173,1160-3160,1160-9160,any
1409,1395-3395,1395-9395,any
1424,1409-3409,1409-9409,any
1455,1439-3439,1439-9439,any
1471,1454-3454,1454-9454,any
1500,1482-3482,1482-9482,any
1506,1487-3487,1487-9487,any
1639,1619-3619,1619-9619,any
1797,1776-3776,1776-9776,any
1831,1809-3809,1809-9809,any
1848,1825-3825,1825-9825,any
2000,1976-3976,1976-9976,any
2009,1984-3984,1984-9984,any
2036,2010-4010,2010-10010,any
2050,2023-4023,2023-10023,any
2062,2034-4034,2034-10034,any
2105,2076-4076,2076-10076,any
2174,2144-4144,2144-10144,any
2176,2145-4145,2145-10145,any
2202,2170-4170,2170-10170,any
2228,2195-4195,2195-10195,any
2290,2256-4256,2256-10256,any
2329,2294-4294,2294-10294,any
2346,2310-4310,2310-10310,any
2354,2317-4317,2317-10317,any
2387,2349-4349,2349-10349,any
2407,2368-4368,2368-10368,any
2414,2374-4374,2374-10374,any
2463,2422-4422,2422-10422,any
2500,2458-4458,2458-10458,any
2538,2495-4495,2495-10495,any
2580,2536-4536,2536-10536,any
2597,2552-4552,2552-10552,any
2635,2589-4589,2589-10589,any
2653,2606-4606,2606-10606,any
2829,2781-4781,2781-10781,any
2885,2836-4836,2836-10836,any
2907,2857-4857,2857-10857,any
2936,2885-4885,2885-10885,any
2961,2909-4909,2909-10909,any
2964,2911-4911,2911-10911,any
2977,2923-4923,2923-10923,any
2993,2938-4938,2938-10938,any
3000,2944-4944,2944-10944,any
3103,3046-5046,3046-11046,any
3137,3079-5079,3079-11079,any
3273,3214-5214,3214-11214,any
3325,3265-5265,3265-11265,any
3411,3350-5350,3350-11350,any
3418,3356-5356,3356-11356,any
3432,3369-5369,3369-11369,any
3456,3392-5392,3392-11392,any
3464,3399-5399,3399-11399,any
3471,3405-5405,3405-11405,any
3500,3433-5433,3433-11433,any
3674,3606-5606,3606-11606,any
3781,3712-5712,3712-11712,any
3818,3748-5748,3748-11748,any
3887,3816-5816,3816-11816,any
3908,3836-5836,3836-11836,any
3942,3869-5869,3869-11869,any
4000,3926-5926,3926-11926,any
4064,3989-5989,3989-11989,any
4101,4025-6025,4025-12025,any
4386,4309-6309,4309-12309,any
4416,4338-6338,4338-12338,any
