level-0,level-1,level-2,level-3
12285,12284-212284,12284-612284,any
13769,13767-213767,13767-613767,any
14878,14875-214875,14875-614875,any
18827,18823-218823,18823-618823,any
19214,19209-219209,19209-619209,any
19302,19296-219296,19296-619296,any
19395,19388-219388,19388-619388,any
19410,19402-219402,19402-619402,any
19491,19482-219482,19482-619482,any
19520,19510-219510,19510-619510,any
19700,19689-219689,19689-619689,any
19752,19740-219740,19740-619740,any
19793,19780-219780,19780-619780,any
19847,19833-219833,19833-619833,any
19899,19884-219884,19884-619884,any
19914,19898-219898,19898-619898,any
20057,20040-220040,20040-620040,any
20098,20080-220080,20080-620080,any
20101,20082-220082,20082-620082,any
20109,20089-220089,20089-620089,any
20179,20158-220158,20158-620158,any
20296,20274-220274,20274-620274,any
20308,20285-220285,20285-620285,any
20323,20299-220299,20299-620299,any
20333,20308-220308,20308-620308,any
20438,20412-220412,20412-620412,any
20469,20442-220442,20442-620442,any
20507,20479-220479,20479-620479,any
20511,20482-220482,20482-620482,any
20534,20504-220504,20504-620504,any
20676,20645-220645,20645-620645,any
20728,20696-220696,20696-620696,any
20795,20762-220762,20762-620762,any
20809,20775-220775,20775-620775,any
20953,20918-220918,20918-620918,any
20956,20920-220920,20920-620920,any
21095,21058-221058,21058-621058,any
21101,21063-221063,21063-621063,any
21154,21115-221115,21115-621115,any
21174,21134-221134,21134-621134,any
21306,21265-221265,21265-621265,any
21472,21430-221430,21430-621430,any
21626,21583-221583,21583-621583,any
21698,21654-221654,21654-621654,any
21792,21747-221747,21747-621747,any
21856,21810-221810,21810-621810,any
21876,21829-221829,21829-621829,any
21906,21858-221858,21858-621858,any
22042,21993-221993,21993-621993,any
22055,22005-222005,22005-622005,any
22154,22103-222103,22103-622103,any
22155,22103-222103,22103-622103,any
22186,22133-222133,22133-622133,any
22201,22147-222147,22147-622147,any
22211,22156-222156,22156-622156,any
22245,22189-222189,22189-622189,any
22313,22256-222256,22256-622256,any
22328,22270-222270,22270-622270,any
22418,22359-222359,22359-622359,any
22422,22362-222362,22362-622362,any
22428,22367-222367,22367-622367,any
22463,22401-222401,22401-622401,any
22494,22431-222431,22431-622431,any
