Germany,Europe,Above equator,Any
England,Europe,Above equator,Any
Ireland,Europe,Above equator,Any
France,Europe,Above equator,Any
Scotland,Europe,Above equator,Any
Holand-Netherlands,Europe,Above equator,Any
Portugal,Europe,Above equator,Any
Italy,Europe,Above equator,Any
Greece,Europe,Above equator,Any
Yugoslavia,Europe,Above equator,Any
Poland,Europe,Above equator,Any
Hungary,Europe,Above equator,Any
Peru,South America,Below equator,Any
Ecuador,South America,Below equator,Any
Columbia,South America,Below equator,Any
Trinadad&Tobago,South America,Below equator,Any
Puerto-Rico,North America,Below equator,Any
Cuba,North America,Below equator,Any
Dominican-Republic,North America,Below equator,Any
Jamaica,North America,Below equator,Any
Haiti,North America,Below equator,Any
United-States,North America,Above equator,Any
Canada,North America,Above equator,Any
Mexico,North America,Above equator,Any
Outlying-US(Guam-USVI-etc),North America,Above equator,Any
Nicaragua,North America,Above equator,Any
Honduras,North America,Above equator,Any
Guatemala,North America,Above equator,Any
El-Salvador,North America,Above equator,Any
Cambodia,Asia,Above equator,Any
Iran,Asia,Above equator,Any
India,Asia,Above equator,Any
Japan,Asia,Above equator,Any
Hong,Asia,Above equator,Any
China,Asia,Above equator,Any
Laos,Asia,Above equator,Any
Philippines,Asia,Above equator,Any
Vietnam,Asia,Above equator,Any
Taiwan,Asia,Above equator,Any
Thailand,Asia,Above equator,Any
South,Africa,Above equator,Any
?,?,?,Any
