level-0,level-1,level-2,level-3,level-4,level-5,level-6
0,0-499,0-999,0-1999,0-3999,0-7999,any
114,112-612,112-1112,112-2112,112-4112,112-8112,any
401,398-898,398-1398,398-2398,398-4398,398-8398,any
500,496-996,496-1496,496-2496,496-4496,496-8496,any
594,589-1089,589-1589,589-2589,589-4589,589-8589,any
914,908-1408,908-1908,908-2908,908-4908,908-8908,any
991,984-1484,984-1984,984-2984,984-4984,984-8984,any
1000,992-1492,992-1992,992-2992,992-4992,992-8992,any
1055,1046-1546,1046-2046,1046-3046,1046-5046,1046-9046,any
1086,1076-1576,1076-2076,1076-3076,1076-5076,1076-9076,any
1111,1100-1600,1100-2100,1100-3100,1100-5100,1100-9100,any
1151,1139-1639,1139-2139,1139-3139,1139-5139,1139-9139,any
1173,1160-1660,1160-2160,1160-3160,1160-5160,1160-9160,any
1409,1395-1895,1395-2395,1395-3395,1395-5395,1395-9395,any
1424,1409-1909,1409-2409,1409-3409,1409-5409,1409-9409,any
1455,1439-1939,1439-2439,1439-3439,1439-5439,1439-9439,any
1471,1454-1954,1454-2454,1454-3454,1454-5454,1454-9454,any
1500,1482-1982,1482-2482,1482-3482,1482-5482,1482-9482,any
1506,1487-1987,1487-2487,1487-3487,1487-5487,1487-9487,any
1639,1619-2119,1619-2619,1619-3619,1619-5619,1619-9619,any
1797,1776-2276,1776-2776,1776-3776,1776-5776,1776-9776,any
1831,1809-2309,1809-2809,1809-3809,1809-5809,1809-9809,any
1848,1825-2325,1825-2825,1825-3825,1825-5825,1825-9825,any
2000,1976-2476,1976-2976,1976-3976,1976-5976,1976-9976,any
2009,1984-2484,1984-2984,1984-3984,1984-5984,1984-9984,any
2036,2010-2510,2010-3010,2010-4010,2010-6010,2010-10010,any
2050,2023-2523,2023-3023,2023-4023,2023-6023,2023-10023,any
2062,2034-2534,2034-3034,2034-4034,2034-6034,2034-10034,any
2105,2076-2576,2076-3076,2076-4076,2076-6076,2076-10076,any
2174,2144-2644,2144-3144,2144-4144,2144-6144,2144-10144,any
2176,2145-2645,2145-3145,2145-4145,2145-6145,2145-10145,any
2202,2170-2670,2170-3170,2170-4170,2170-6170,2170-10170,any
2228,2195-2695,2195-3195,2195-4195,2195-6195,2195-10195,any
2290,2256-2756,2256-3256,2256-4256,2256-6256,2256-10256,any
2329,2294-2794,2294-3294,2294-4294,2294-6294,2294-10294,any
2346,2310-2810,2310-3310,2310-4310,2310-6310,2310-10310,any
2354,2317-2817,2317-3317,2317-4317,2317-6317,2317-10317,any
2387,2349-2849,2349-3349,2349-4349,2349-6349,2349-10349,any
2407,2368-2868,2368-3368,2368-4368,2368-6368,2368-10368,any
2414,2374-2874,2374-3374,2374-4374,2374-6374,2374-10374,any
2463,2422-2922,2422-3422,2422-4422,2422-6422,2422-10422,any
2500,2458-2958,2458-3458,2458-4458,2458-6458,2458-10458,any
2538,2495-2995,2495-3495,2495-4495,2495-6495,2495-10495,any
2580,2536-3036,2536-3536,2536-4536,2536-6536,2536-10536,any
2597,2552-3052,2552-3552,2552-4552,2552-6552,2552-10552,any
2635,2589-3089,2589-3589,2589-4589,2589-6589,2589-10589,any
2653,2606-3106,2606-3606,2606-4606,2606-6606,2606-10606,any
2829,2781-3281,2781-3781,2781-4781,2781-6781,2781-10781,any
2885,2836-3336,2836-3836,2836-4836,2836-6836,2836-10836,any
2907,2857-3357,2857-3857,2857-4857,2857-6857,2857-10857,any
2936,2885-3385,2885-3885,2885-4885,2885-6885,2885-10885,any
2961,2909-3409,2909-3909,2909-4909,2909-6909,2909-10909,any
2964,2911-3411,2911-3911,2911-4911,2911-6911,2911-10911,any
2977,2923-3423,2923-3923,2923-4923,2923-6923,2923-10923,any
2993,2938-3438,2938-3938,2938-4938,2938-6938,2938-10938,any
3000,2944-3444,2944-3944,2944-4944,2944-6944,2944-10944,any
3103,3046-3546,3046-4046,3046-5046,3046-7046,3046-11046,any
3137,3079-3579,3079-4079,3079-5079,3079-7079,3079-11079,any
3273,3214-3714,3214-4214,3214-5214,3214-7214,3214-11214,any
3325,3265-3765,3265-4265,3265-5265,3265-7265,3265-11265,any
3411,3350-3850,3350-4350,3350-5350,3350-7350,3350-11350,any
3418,3356-3856,3356-4356,3356-5356,3356-7356,3356-11356,any
3432,3369-3869,3369-4369,3369-5369,3369-7369,3369-11369,any
3456,3392-3892,3392-4392,3392-5392,3392-7392,3392-11392,any
3464,3399-3899,3399-4399,3399-5399,3399-7399,3399-11399,any
3471,3405-3905,3405-4405,3405-5405,3405-7405,3405-11405,any
3500,3433-3933,3433-4433,3433-5433,3433-7433,3433-11433,any
3674,3606-4106,3606-4606,3606-5606,3606-7606,3606-11606,any
3781,3712-4212,3712-4712,3712-5712,3712-7712,3712-11712,any
3818,3748-4248,3748-4748,3748-5748,3748-7748,3748-11748,any
3887,3816-4316,3816-4816,3816-5816,3816-7816,3816-11816,any
3908,3836-4336,3836-4836,3836-5836,3836-7836,3836-11836,any
3942,3869-4369,3869-4869,3869-5869,3869-7869,3869-11869,any
4000,3926-4426,3926-4926,3926-5926,3926-7926,3926-11926,any
4064,3989-4489,3989-4989,3989-5989,3989-7989,3989-11989,any
4101,4025-4525,4025-5025,4025-6025,4025-8025,4025-12025,any
4386,4309-4809,4309-5309,4309-6309,4309-8309,4309-12309,any
4416,4338-4838,4338-5338,4338-6338,4338-8338,4338-12338,any
4500,4421-4921,4421-5421,4421-6421,4421-8421,4421-12421,any
4508,4428-4928,4428-5428,4428-6428,4428-8428,4428-12428,any
4650,4569-5069,4569-5569,4569-6569,4569-8569,4569-12569,any
4687,4605-5105,4605-5605,4605-6605,4605-8605,4605-12605,any
4787,4704-5204,4704-5704,4704-6704,4704-8704,4704-12704,any
4865,4781-5281,4781-5781,4781-6781,4781-8781,4781-12781,any
4931,4846-5346,4846-5846,4846-6846,4846-8846,4846-12846,any
4934,4848-5348,4848-5848,4848-6848,4848-8848,4848-12848,any
5000,4913-5413,4913-5913,4913-6913,4913-8913,4913-12913,any
5013,4925-5425,4925-5925,4925-6925,4925-8925,4925-12925,any
5060,4971-5471,4971-5971,4971-6971,4971-8971,4971-12971,any
5178,5088-5588,5088-6088,5088-7088,5088-9088,5088-13088,any
5455,5364-5864,5364-6364,5364-7364,5364-9364,5364-13364,any
5500,5408-5908,5408-6408,5408-7408,5408-9408,5408-13408,any
5556,5463-5963,5463-6463,5463-7463,5463-9463,5463-13463,any
5721,5627-6127,5627-6627,5627-7627,5627-9627,5627-13627,any
6000,5905-6405,5905-6905,5905-7905,5905-9905,5905-13905,any
6097,6001-6501,6001-7001,6001-8001,6001-10001,6001-14001,any
6360,6263-6763,6263-7263,6263-8263,6263-10263,6263-14263,any
6418,6320-6820,6320-7320,6320-8320,6320-10320,6320-14320,any
6497,6398-6898,6398-7398,6398-8398,6398-10398,6398-14398,any
6500,6400-6900,6400-7400,6400-8400,6400-10400,6400-14400,any
6514,6413-6913,6413-7413,6413-8413,6413-10413,6413-14413,any
6723,6621-7121,6621-7621,6621-8621,6621-10621,6621-14621,any
6767,6664-7164,6664-7664,6664-8664,6664-10664,6664-14664,any
6849,6745-7245,6745-7745,6745-8745,6745-10745,6745-14745,any
7000,6895-7395,6895-7895,6895-8895,6895-10895,6895-14895,any
7298,7192-7692,7192-8192,7192-9192,7192-11192,7192-15192,any
7430,7323-7823,7323-8323,7323-9323,7323-11323,7323-15323,any
